#doc source pos typeindex type topic
#alpha : 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 
#beta : 0.01
5 ../../../data/input/txt/554_1811_0.txt 5 82 despot 13
5 ../../../data/input/txt/554_1811_0.txt 6 83 king 48
5 ../../../data/input/txt/554_1811_0.txt 7 84 invented 8
5 ../../../data/input/txt/554_1811_0.txt 8 85 repose 72
5 ../../../data/input/txt/554_1811_0.txt 9 86 fate 60
5 ../../../data/input/txt/554_1811_0.txt 10 87 added 72
5 ../../../data/input/txt/554_1811_0.txt 11 88 realm 77
5 ../../../data/input/txt/554_1811_0.txt 12 89 dungeon 8
5 ../../../data/input/txt/554_1811_0.txt 13 90 kinsman 77
5 ../../../data/input/txt/554_1811_0.txt 14 91 incarceration 77
5 ../../../data/input/txt/554_1811_0.txt 15 92 home 61
6 ../../../data/input/txt/1102_2109_0.txt 0 93 live 73
6 ../../../data/input/txt/1102_2109_0.txt 1 94 past 90
6 ../../../data/input/txt/1102_2109_0.txt 2 95 present 61
6 ../../../data/input/txt/1102_2109_0.txt 3 96 sought 90
6 ../../../data/input/txt/1102_2109_0.txt 4 45 sweet 20
6 ../../../data/input/txt/1102_2109_0.txt 5 97 nature 57
6 ../../../data/input/txt/1102_2109_0.txt 6 98 gently 11
6 ../../../data/input/txt/1102_2109_0.txt 7 99 owned 88
6 ../../../data/input/txt/1102_2109_0.txt 8 100 mother 65
6 ../../../data/input/txt/1102_2109_0.txt 9 101 knell 73
6 ../../../data/input/txt/1102_2109_0.txt 10 102 duke 66
6 ../../../data/input/txt/1102_2109_0.txt 11 103 robin 66
7 ../../../data/input/txt/721_1230_0.txt 0 104 sun 11
7 ../../../data/input/txt/721_1230_0.txt 1 105 gay 55
7 ../../../data/input/txt/721_1230_0.txt 2 106 stark 11
7 ../../../data/input/txt/721_1230_0.txt 3 107 deed 39
7 ../../../data/input/txt/721_1230_0.txt 4 108 merry 24
7 ../../../data/input/txt/721_1230_0.txt 5 109 merrier 80
